mz,RT,KMD,HS Number
524.95862,6.7815279,-0.007848121,1439
325.18323,10.208255,0.20400117,1468
475.17358,9.8470257,0.203931845,1468
375.18106,10.196661,0.205024795,1468
875.20667,9.2709737,0.262574071,1481
775.21552,8.1772196,0.265037108,1481
825.21191,8.7605966,0.264620642,1481
775.26764,9.0052591,0.317160437,1487
425.28934,7.8328029,0.316505476,1487
825.26605,9.5321007,0.3187641,1487
625.95465,7.9195945,-0.005366972,1501
675.95172,8.3746549,-0.005103395,1501
525.96173,6.7815279,-0.004674047,1501
575.95862,7.385982,-0.004590482,1501
375.97198,3.2848905,-0.004004685,1501
425.96866,4.8514883,-0.004131133,1501
826.89886,10.395978,-0.048321604,1545
626.91052,9.8113236,-0.049435915,1545
576.91284,9.4847798,-0.050309531,1545
476.92154,3.4872154,-0.047996503,1545
426.96609,8.1282112,-0.006637422,1555
526.95972,9.2473174,-0.0066203,1555
626.95343,10.081167,-0.006523174,1555
376.96774,7.5107987,-0.00818108,1555
576.95459,8.9201341,-0.008556864,1555
326.97128,6.5427654,-0.007834618,1555
427.96951,8.1282112,-0.003153328,1625
377.97107,7.5107987,-0.004786992,1625
627.95587,10.081167,-0.004019143,1625
527.96277,9.2473174,-0.00350623,1625
528.9552,9.258732,-0.011012839,1676
328.96906,6.1399029,-0.009927009,1676
428.96121,8.1282112,-0.011389983,1676
328.96686,6.5924925,-0.01212715,1676
379.15509,9.8356945,0.179308637,1690
279.16211,9.8004653,0.179941558,1690
429.15262,9.3420445,0.180032244,1690
379.155,9.4256882,0.179218632,1690
480.89731,8.5737028,-0.07197255,1782
580.89142,9.5092321,-0.071475398,1782
530.8941,9.0664153,-0.071988991,1782
630.88763,9.8943445,-0.072071876,1782
530.89337,9.4148841,-0.072719037,1782
480.93945,7.5483862,-0.029829858,1787
530.93555,8.2387716,-0.030536343,1787
580.93286,8.7849174,-0.030032751,1787
430.94214,6.5924925,-0.03033345,1787
730.95282,9.1149342,-0.000490184,1793
380.97577,7.7597882,0.000104934,1793
530.96521,7.3982654,-0.000874449,1793
280.98227,1.4352967,0.000217821,1793
430.97205,5.9881404,-0.00042154,1793
280.98224,5.9375612,0.000187819,1793
630.95874,8.3746549,-0.000957334,1793
330.979,3.2974842,0.000141376,1793
580.96216,7.9318945,-0.000730879,1793
580.96222,9.7430299,-0.000670876,1793
780.94958,9.4256882,-0.000536627,1793
480.96878,8.8956111,-0.000497985,1793
480.96878,6.7815279,-0.000497985,1793
430.97214,8.3871925,-0.000331534,1793
230.9854,4.1695321,0.000154257,1793
680.95776,8.7605966,0.001256367,1793
380.97552,4.8514883,-0.000145082,1793
381.97891,4.8514883,0.00330901,1861
481.97208,6.7815279,0.002866101,1861
581.96533,7.9071967,0.002503198,1861
281.9855,5.9375612,0.003511903,1861
481.97198,8.8956111,0.002766095,1861
331.98224,3.2974842,0.003445458,1861
632.88452,9.8831799,-0.075054324,1906
532.89087,9.0664153,-0.075091447,1906
482.89404,8.5737028,-0.075115008,1906
532.92377,9.8004653,-0.042189345,1911
632.91803,10.290203,-0.041542184,1911
582.92035,6.215655,-0.0424158,1911
532.92438,10.604546,-0.041579306,1911
482.92715,9.4847798,-0.042002893,1911
382.95181,6.7815279,-0.023728846,1916
332.95514,4.8514883,-0.023592397,1916
782.92413,10.138759,-0.025860502,1916
584.02197,7.3982654,0.059274567,1981
534.02509,6.2029383,0.059201002,1981
484.02893,4.1192446,0.059847483,1981
684.0155,8.7483861,0.059191681,1981
634.01862,8.1772196,0.059118117,1981
834.23676,8.9452508,0.290047106,2001
1034.22363,9.2709737,0.289691324,2001
434.26428,8.3993633,0.292018752,2001
584.91711,6.215655,-0.045528256,2035
484.92422,9.4847798,-0.04480533,2035
534.92084,9.8113236,-0.044991782,2035
184.98361,8.9201341,-0.00457412,2038
184.9836,6.5924925,-0.004584121,2038
334.97531,6.7941195,-0.003293358,2038
284.97702,6.5924925,-0.004777013,2038
184.98346,10.628311,-0.00472413,2038
786.17731,8.1649862,0.227527296,2099
286.20966,8.140582,0.227941722,2099
436.19934,6.2284175,0.227202355,2099
336.98843,9.0052591,0.00995523,2129
386.98468,9.5205799,0.009398755,2129
236.995,7.598807,0.010138122,2129
438.93539,4.1065634,-0.036572879,2208
538.92761,7.3982654,-0.037965848,2208
488.93292,6.2029383,-0.035849273,2208
538.95776,5.4830821,-0.007813922,2213
738.94501,8.3746549,-0.007789681,2213
638.95172,7.3982654,-0.00746678,2213
538.95801,5.9881404,-0.007563906,2213
438.96436,3.2974842,-0.007601029,2213
588.95471,6.7815279,-0.007670353,2213
838.93762,9.1149342,-0.008792625,2213
888.93451,9.4256882,-0.008709059,2213
788.94287,8.7605966,-0.006736053,2213
688.94879,7.9195945,-0.007203203,2213
388.96786,1.4352967,-0.007294569,2213
488.96136,4.8514883,-0.007407456,2213
388.96811,1.1703239,-0.007044553,2213
338.99338,4.1318843,0.015033297,2228
538.97974,9.0052591,0.014167482,2228
438.98572,7.598807,0.013760336,2228
588.97601,9.5092321,0.013631007,2228
788.97321,10.652509,0.023605885,2232
888.96692,11.056178,0.023703011,2232
988.96075,11.379257,0.023920145,2232
789.24664,8.9687195,0.29705335,2267
389.27075,11.780282,0.295614778,2267
889.23956,9.8831799,0.296360426,2267
589.95837,6.7815279,-0.003946244,2286
439.96774,3.2974842,-0.004156938,2286
489.96457,4.8514883,-0.004133376,2286
539.95966,5.9881404,-0.005849926,2286
789.94495,8.7605966,-0.004592045,2286
540.92505,7.3982654,-0.040398261,2318
490.92819,6.2029383,-0.040451825,2318
440.93118,4.1192446,-0.040655398,2318
490.96707,4.8514883,-0.001569341,2322
440.97003,3.2974842,-0.001802916,2322
590.96051,6.7815279,-0.001742232,2322
340.98871,4.1442404,0.010490749,2326
440.98181,7.598807,0.009977836,2326
540.97565,9.0052591,0.010204971,2326
590.97229,9.5205799,0.01003852,2326
490.99319,9.5205799,0.024552327,2330
341.00308,7.598807,0.024861667,2330
440.99637,9.0052591,0.024538767,2330
241.00986,4.1318843,0.025254572,2330
791.09167,7.7597882,0.142201202,2344
391.11728,6.668082,0.142262726,2344
391.11722,8.0429549,0.142202722,2344
691.0976,5.9375612,0.141744053,2344
441.99985,9.0052591,0.028082864,2404
491.99594,9.5205799,0.027366378,2404
242.01332,4.1318843,0.028778669,2404
342.00635,7.598807,0.028195751,2404
792.89606,10.604546,-0.053293542,2454
742.89966,10.395978,-0.052887076,2454
692.90106,10.162303,-0.054680751,2454
542.92004,7.385982,-0.045280831,2457
442.92697,4.1192446,-0.044737916,2457
1092.88367,9.7094507,-0.04652175,2457
492.92374,6.2029383,-0.044774358,2457
292.98245,7.6110862,0.001164336,2468
542.96405,9.1398132,-0.001268019,2468
392.97546,8.9571361,0.000561417,2468
492.96863,9.8831799,0.000118509,2468
442.97128,7.4604654,-0.000425086,2468
442.97086,7.8575925,-0.000845112,2468
293.17529,7.0956758,0.194016654,2485
293.17532,6.8571674,0.194046656,2485
393.17078,9.8356945,0.195893894,2485
393.17084,10.208255,0.195953897,2485
243.17873,6.2785591,0.194263109,2485
443.9285,4.1192446,-0.043143943,2517
1143.88171,10.697555,-0.045224236,2517
493.92441,6.215655,-0.04404044,2517
343.97009,7.9195945,-0.007938814,2522
243.97678,4.8514883,-0.007635915,2522
443.96295,9.4374507,-0.008691742,2522
293.97382,6.7815279,-0.00740234,2522
393.96643,8.7605966,-0.008405284,2522
593.96362,10.83693,0.001559592,2528
443.97391,7.8703007,0.002268958,2528
393.97845,8.9571361,0.003615484,2528
493.97205,9.8831799,0.003602603,2528
444.46451,9.4374507,0.492900295,2569
294.47507,6.7815279,0.493879677,2569
244.47852,4.8514883,0.494136134,2569
344.47205,7.9318945,0.494053249,2569
494.95148,8.9201341,-0.016904836,2581
644.94354,8.8956111,-0.015264051,2581
444.95654,5.9375612,-0.015038277,2581
544.96484,8.8956111,-0.000350218,2585
844.94458,10.906624,-0.001448929,2585
744.95117,10.407478,-0.001246036,2585
544.96442,6.7815279,-0.000770245,2585
494.96881,8.1649862,0.000426271,2585
494.96796,8.3871925,-0.000423783,2585
394.97476,6.2029383,-1.08767E-05,2585
594.96179,9.3301862,-0.000206649,2585
394.97433,3.2848905,-0.000440904,2585
344.97794,5.9375612,-2.44376E-05,2585
444.97147,7.3982654,-0.000107323,2585
444.97134,7.7597882,-0.000237331,2585
444.97128,4.8514883,-0.000297335,2585
694.95508,10.081167,-0.00052955,2585
644.95837,9.731682,-0.000433104,2585
745.05548,7.5356632,0.103070627,2602
695.05835,6.5803404,0.102747047,2602
795.05048,8.2387716,0.101264072,2602
895.23108,9.7094507,0.288263136,2620
845.2334,9.2709737,0.28738952,2620
795.23615,8.7605966,0.286945932,2620
945.22638,10.081167,0.286756599,2620
1045.21985,10.720572,0.28661371,2620
995.22284,10.431213,0.286410137,2620
545.31433,9.4847798,0.349162105,2632
1045.28137,9.8716591,0.34813764,2632
945.28754,8.9687195,0.347920506,2632
595.96484,9.3420445,0.002907421,2660
695.95789,10.081167,0.002344505,2660
445.97452,4.8641341,0.003006747,2660
345.98132,5.9375612,0.003419654,2660
645.96204,9.731682,0.003301006,2660
545.96808,8.8956111,0.002953864,2660
745.95526,10.418909,0.002908101,2660
396.97025,9.1149342,-0.004393414,2717
446.9671,9.7204591,-0.004349851,2717
346.97345,8.3632612,-0.004386974,2717
246.98032,6.2029383,-0.003904063,2717
196.98367,4.1192446,-0.003747613,2717
346.97366,8.1649862,-0.00417696,2717
296.97681,7.3982654,-0.004220523,2717
946.98712,9.4148841,0.047609067,2726
597.01099,5.9881404,0.049124244,2726
647.00787,6.7815279,0.049197809,2726
796.99841,8.3746549,0.049318496,2726
497.01736,3.2848905,0.049107123,2726
547.01422,4.8514883,0.049160686,2726
697.00513,7.3982654,0.049651398,2726
846.99512,8.7605966,0.04922205,2726
896.99261,9.1149342,0.049905654,2726
747.00183,7.9195945,0.049544951,2726
748.00543,7.9195945,0.053209056,2790
648.01099,6.7815279,0.052381883,2790
548.01788,4.8514883,0.052884795,2790
1048.25647,9.697757,0.323427675,2821
948.26233,8.7725966,0.322900522,2821
998.25824,9.2709737,0.322004024,2821
598.35596,10.871149,0.394180154,2828
948.33307,9.5205799,0.39364504,2828
598.35583,12.62988,0.394050146,2828
598.35596,11.206238,0.394180154,2828
898.33685,9.0052591,0.394231518,2828
598.35602,12.478574,0.394240158,2828
598.91498,10.628311,-0.046764138,2855
698.90912,10.604546,-0.046236984,2855
648.91241,10.384355,-0.046140538,2855
598.91577,10.174017,-0.045974088,2855
348.93881,6.9576758,-0.038901436,2860
298.94217,4.9901091,-0.038734985,2860
398.93527,7.5356632,-0.039247898,2860
348.93872,6.5924925,-0.038991442,2860
498.92892,8.7970716,-0.039210776,2860
498.92883,9.1278278,-0.039300781,2860
448.93195,8.2387716,-0.039374346,2860
548.92554,9.2709737,-0.039397228,2860
698.91589,10.395978,-0.039466552,2860
598.92212,9.697757,-0.039623682,2860
498.93863,7.2850279,-0.029500155,2870
398.94489,3.4872154,-0.029627284,2870
598.9317,8.7849174,-0.03004307,2870
599.35773,12.398349,0.396014143,2915
949.33698,9.5205799,0.397619165,2915
549.3631,12.839469,0.398190722,2915
899.33936,9.0052591,0.396805553,2915
599.35803,12.652682,0.396314162,2915
349.94223,6.5924925,-0.035417342,2937
699.9187,10.395978,-0.036592497,2937
599.92535,9.697757,-0.0363296,2937
449.93509,8.2387716,-0.03617027,2937
499.93195,8.7970716,-0.036116707,2937
549.92877,9.2709737,-0.036103146,2937
399.93854,7.5356632,-0.035913814,2937
299.94571,4.9901091,-0.035130884,2937
499.94028,10.04674,-0.027786175,2945
599.93439,8.7849174,-0.027289023,2945
399.9483,3.4872154,-0.02615319,2945
499.9415,7.2976487,-0.026566097,2945
