mass,rt,
344.97794,5.9375612,
345.98132,5.9375612,
346.98306,5.9375612,
426.98099,5.9375612,
431.22714,5.9375612,
432.23108,5.9375612,
444.95654,5.9375612,
520.93811,5.9375612,
522.93372,5.9375612,
523.9361,5.9375612,
524.92975,5.9375612,
536.95135,5.9375612,
566.03192,5.9375612,
602.90656,5.9375612,
614.92633,5.9375612,
616.92267,5.9375612,
617.92352,5.9375612,
628.94263,5.9375612,
690.9632,5.9375612,
691.0976,5.9375612,
692.10028,5.9375612,
693.09521,5.9375612,
362.14526,5.9502404,
430.97205,5.9881404,
474.96188,5.9881404,
538.95801,5.9881404,
539.95966,5.9881404,
560.93909,5.9881404,
597.01099,5.9881404,
376.22314,6.0008154,
387.12247,6.0008154,
559.27423,6.051582,
379.13455,6.0768612,
376.16064,6.0894426,
409.10867,6.0894426,
411.19659,6.0894426,
305.17822,6.1021029,
321.173,6.1021029,
416.19211,6.1148487,
306.96735,6.1271633,
316.13956,6.1271633,
355.19366,6.1271633,
357.20938,6.1271633,
433.22488,6.1271633,
504.92865,6.1271633,
548.02673,6.1271633,
584.90277,6.1271633,
411.95148,6.1399029,
306.18201,6.1399029,
326.97342,6.1399029,
327.97684,6.1399029,
328.96906,6.1399029,
408.97656,6.1399029,
506.92499,6.1399029,
514.95367,6.1399029,
516.94824,6.1399029,
598.91809,6.1399029,
644.11902,6.1399029,
673.09302,6.1399029,
674.0946,6.1399029,
675.09155,6.1399029,
701.18402,6.1399029,
703.20044,6.1399029,
409.10791,6.1651466,
559.27521,6.1651466,
213.14902,6.1902404,
257.17517,6.1902404,
246.98032,6.2029383,
268.98227,6.2029383,
269.98566,6.2029383,
312.9722,6.2029383,
358.21304,6.2029383,
394.97476,6.2029383,
412.9509,6.2029383,
413.95209,6.2029383,
488.93292,6.2029383,
490.92819,6.2029383,
492.92374,6.2029383,
502.94846,6.2029383,
534.02509,6.2029383,
570.90131,6.2029383,
659.09161,6.2029383,
662.0921,6.2029383,
687.18341,6.2029383,
688.16113,6.2029383,
689.20099,6.2029383,
313.97537,6.215655,
410.95511,6.215655,
491.92899,6.215655,
493.92441,6.215655,
500.95261,6.215655,
582.92035,6.215655,
584.91711,6.215655,
608.04364,6.215655,
630.11963,6.215655,
660.09357,6.215655,
661.09033,6.215655,
436.19934,6.2284175,
615.30078,6.2284175,
243.17873,6.2785591,
737.41718,6.2907008,
313.20151,6.3538612,
244.99637,6.366453,
357.20941,6.366453,
474.10654,6.3912425,
477.06287,6.4167487,
349.20413,6.4420612,
244.99631,6.4544029,
283.19077,6.4544029,
339.19888,6.4544029,
350.20776,6.4544029,
374.18146,6.4544029,
421.14581,6.4544029,
781.44293,6.4544029,
185.15408,6.4669821,
257.17517,6.4669821,
357.20932,6.4669821,
359.22507,6.4669821,
417.21152,6.4669821,
418.20752,6.4669821,
533.22235,6.47968,
258.17838,6.5046238,
478.06345,6.5046238,
479.06052,6.5046238,
279.12631,6.5300508,
383.08524,6.5300508,
425.08441,6.5300508,
242.17555,6.5427654,
250.97528,6.5427654,
326.97128,6.5427654,
330.04153,6.5427654,
409.10843,6.5427654,
573.28998,6.5427654,
673.0907,6.5427654,
408.10724,6.5550633,
574.29358,6.5550633,
674.09241,6.5550633,
215.16454,6.5676383,
260.11349,6.5803404,
351.93787,6.5803404,
375.21982,6.5803404,
506.92261,6.5803404,
678.08484,6.5803404,
695.05835,6.5803404,
696.05988,6.5803404,
168.98877,6.5924925,
169.99213,6.5924925,
184.9836,6.5924925,
284.97702,6.5924925,
328.96686,6.5924925,
348.76468,6.5924925,
348.93872,6.5924925,
349.94223,6.5924925,
350.93439,6.5924925,
366.97971,6.5924925,
410.97012,6.5924925,
428.94574,6.5924925,
430.94214,6.5924925,
508.91867,6.5924925,
600.91406,6.5924925,
675.08643,6.5924925,
676.08826,6.5924925,
677.08551,6.5924925,
697.05707,6.5924925,
285.98062,6.6047737,
327.2168,6.6047737,
363.18369,6.6047737,
301.20096,6.6175153,
